k,accuracy,f1_0,f1_1
20,0.9133858267716536,0.8990825688073395,0.9241379310344827
21,0.8923884514435696,0.8664495114006515,0.9098901098901099
21,0.868766404199475,0.8387096774193549,0.8893805309734514
21,0.884514435695538,0.8625,0.9004524886877828
21,0.8740157480314961,0.8461538461538461,0.8933333333333333
21,0.8713910761154856,0.8403908794788274,0.8923076923076924
21,0.8818897637795275,0.8589341692789969,0.8984198645598194
21,0.8976377952755905,0.8745980707395499,0.9135254988913526
21,0.8398950131233596,0.7973421926910299,0.8676789587852495
21,0.8792650918635171,0.8535031847133758,0.8973214285714286
21,0.9081364829396326,0.8929663608562691,0.9195402298850575
22,0.89501312335958,0.869281045751634,0.9122807017543859
22,0.8766404199475065,0.8498402555910544,0.8953229398663697
22,0.884514435695538,0.8633540372670807,0.9
22,0.8766404199475065,0.8498402555910544,0.8953229398663697
22,0.8766404199475065,0.8469055374592834,0.8967032967032967
22,0.8818897637795275,0.8589341692789969,0.8984198645598194
22,0.89501312335958,0.8717948717948718,0.9111111111111111
22,0.8372703412073491,0.7933333333333333,0.8658008658008658
22,0.8792650918635171,0.8535031847133758,0.8973214285714286
22,0.910761154855643,0.8963414634146342,0.9216589861751152
23,0.8923884514435696,0.8664495114006515,0.9098901098901099
23,0.8740157480314961,0.8471337579617835,0.8928571428571429
23,0.8818897637795275,0.8589341692789969,0.8984198645598194
23,0.8740157480314961,0.8471337579617835,0.8928571428571429
23,0.8740157480314961,0.8421052631578947,0.8951965065502183
23,0.8766404199475065,0.8526645768025078,0.8939051918735892
23,0.889763779527559,0.8653846153846154,0.9066666666666666
23,0.8346456692913385,0.7906976744186046,0.8633405639913232
23,0.8818897637795275,0.8562300319488818,0.8997772828507795
23,0.9186351706036745,0.9046153846153846,0.9290617848970252
24,0.8923884514435696,0.8655737704918033,0.9102844638949672
24,0.8713910761154856,0.842443729903537,0.8913525498891353
24,0.89501312335958,0.8742138364779874,0.9099099099099099
24,0.8740157480314961,0.8481012658227848,0.8923766816143498
24,0.8792650918635171,0.8496732026143791,0.8991228070175439
24,0.8818897637795275,0.8580441640378549,0.898876404494382
24,0.8923884514435696,0.8690095846645367,0.9086859688195991
24,0.8320209973753281,0.7880794701986755,0.8608695652173913
24,0.8871391076115486,0.8634920634920635,0.9038031319910514
24,0.916010498687664,0.901840490797546,0.926605504587156
25,0.889763779527559,0.8636363636363636,0.9074889867841409
25,0.868766404199475,0.8387096774193549,0.8893805309734514
25,0.89501312335958,0.8726114649681529,0.9107142857142857
25,0.8661417322834646,0.8370607028753994,0.8864142538975501
25,0.8713910761154856,0.8382838283828383,0.8932461873638344
25,0.8766404199475065,0.8526645768025078,0.8939051918735892
25,0.89501312335958,0.8726114649681529,0.9107142857142857
25,0.8372703412073491,0.7933333333333333,0.8658008658008658
25,0.884514435695538,0.8607594936708861,0.9013452914798207
25,0.9133858267716536,0.8990825688073395,0.9241379310344827
26,0.8871391076115486,0.8590163934426229,0.9059080962800875
26,0.8713910761154856,0.8434504792332268,0.89086859688196
26,0.8923884514435696,0.8706624605678234,0.9078651685393259
26,0.8713910761154856,0.8434504792332268,0.89086859688196
