hyperparameters,k,accuracy,f1_0,f1_1
ignore,15,0.8661417322834646,0.8349514563106796,0.8874172185430463
ignore,15,0.9028871391076115,0.8817891373801917,0.9175946547884187
ignore,16,0.863517060367454,0.8231292517006803,0.8888888888888888
ignore,16,0.884514435695538,0.8633540372670807,0.9
ignore,16,0.889763779527559,0.8703703703703703,0.9041095890410958
ignore,16,0.8871391076115486,0.8676923076923077,0.9016018306636155
ignore,16,0.8792650918635171,0.8516129032258064,0.8982300884955752
ignore,16,0.8740157480314961,0.84,0.8961038961038961
ignore,16,0.884514435695538,0.8616352201257862,0.9009009009009009
ignore,16,0.8976377952755905,0.8792569659442725,0.9111617312072893
ignore,16,0.863517060367454,0.8311688311688312,0.8854625550660793
ignore,16,0.9028871391076115,0.8817891373801917,0.9175946547884187
ignore,17,0.868766404199475,0.8322147651006712,0.8922413793103449
ignore,17,0.884514435695538,0.8633540372670807,0.9
ignore,17,0.8818897637795275,0.8598130841121495,0.8979591836734694
ignore,17,0.8923884514435696,0.8738461538461538,0.9061784897025171
ignore,17,0.863517060367454,0.8289473684210527,0.8864628820960698
ignore,17,0.8740157480314961,0.84,0.8961038961038961
ignore,17,0.8713910761154856,0.8463949843260188,0.8893905191873589
ignore,17,0.8976377952755905,0.8792569659442725,0.9111617312072893
ignore,17,0.8608923884514436,0.8273615635179153,0.8835164835164835
ignore,17,0.9081364829396326,0.8881789137380192,0.9220489977728286
ignore,18,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,18,0.8818897637795275,0.8615384615384616,0.897025171624714
ignore,18,0.8871391076115486,0.8660436137071651,0.9024943310657596
ignore,18,0.8923884514435696,0.8738461538461538,0.9061784897025171
ignore,18,0.868766404199475,0.8376623376623377,0.8898678414096917
ignore,18,0.8740157480314961,0.84,0.8961038961038961
ignore,18,0.8818897637795275,0.8580441640378549,0.898876404494382
ignore,18,0.9002624671916011,0.8827160493827161,0.91324200913242
ignore,18,0.8582677165354331,0.8246753246753247,0.8810572687224669
ignore,18,0.905511811023622,0.8867924528301887,0.918918918918919
ignore,19,0.863517060367454,0.825503355704698,0.8879310344827587
ignore,19,0.8713910761154856,0.848297213622291,0.8883826879271071
ignore,19,0.889763779527559,0.86875,0.9049773755656109
ignore,19,0.8923884514435696,0.8738461538461538,0.9061784897025171
ignore,19,0.8582677165354331,0.8223684210526315,0.8820960698689956
ignore,19,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,19,0.8792650918635171,0.8544303797468354,0.8968609865470852
ignore,19,0.9028871391076115,0.8861538461538462,0.9153318077803204
