hyperparameters,ntree,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
minimal_size_for_split=5,100,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,1.0
minimal_size_for_split=10,20,0.9722222222222222,1.0,0.8888888888888888,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.9444444444444444,0.9411764705882353
minimal_size_for_split=30,20,0.9444444444444444,1.0,0.918918918918919,0.9444444444444444,0.9142857142857143,1.0,0.95,1.0,0.9714285714285714,0.875,0.8648648648648649
minimal_size_for_split=20,20,0.9777777777777777,0.9714285714285714,1.0,0.9473684210526315,1.0,0.972972972972973,1.0,1.0,0.9714285714285714,0.9090909090909091,1.0
minimal_size_for_split=50,20,0.9333333333333333,0.9714285714285714,0.9444444444444444,0.9473684210526315,0.9142857142857143,0.972972972972973,0.926829268292683,0.9714285714285714,0.9444444444444444,0.8235294117647058,0.9090909090909091
minimal_size_for_split=40,20,0.9333333333333333,0.9714285714285714,0.8888888888888888,0.918918918918919,0.918918918918919,0.9444444444444444,0.926829268292683,1.0,0.9444444444444444,0.875,0.9411764705882353
minimal_size_for_split=2,2,0.49444444444444446,0.33663366336633666,0.3448275862068966,0.5806451612903226,0.5714285714285714,0.56,0.7647058823529411,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.4166666666666667
minimal_size_for_split=5,20,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
minimal_size_for_split=20,50,0.9666666666666667,1.0,0.918918918918919,0.972972972972973,0.9714285714285714,1.0,0.95,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.9714285714285714
minimal_size_for_split=10,50,0.9666666666666667,1.0,0.9444444444444444,0.972972972972973,0.9444444444444444,1.0,0.95,1.0,0.9714285714285714,0.9090909090909091,0.9714285714285714
minimal_size_for_split=40,50,0.9611111111111111,1.0,0.9444444444444444,0.9473684210526315,0.9411764705882353,1.0,0.95,1.0,0.9714285714285714,0.9090909090909091,0.9444444444444444
minimal_size_for_split=30,50,0.9666666666666667,0.9714285714285714,1.0,1.0,0.9411764705882353,0.972972972972973,0.9743589743589743,1.0,0.9714285714285714,0.9090909090909091,0.9230769230769231
minimal_size_for_split=50,50,0.95,1.0,0.9411764705882353,0.9,0.9411764705882353,0.9714285714285714,0.9230769230769231,1.0,0.9444444444444444,0.9090909090909091,0.972972972972973
minimal_size_for_split=5,100,0.9722222222222222,1.0,0.9473684210526315,1.0,0.9714285714285714,0.9473684210526315,0.972972972972973,0.9714285714285714,1.0,0.9411764705882353,0.9714285714285714
minimal_size_for_split=2,10,0.48333333333333334,0.288,0.56,0.56,0.5384615384615384,0.4166666666666667,0.875,0.5,0.7586206896551724,0.6428571428571429,0.2727272727272727
minimal_size_for_split=5,50,0.9833333333333333,1.0,0.972972972972973,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353,0.9714285714285714
minimal_size_for_split=2,5,0.5055555555555555,0.2982456140350877,0.7096774193548387,0.6428571428571429,0.5925925925925926,0.7142857142857143,0.5517241379310345,0.6666666666666666,0.5,0.5714285714285714,0.4166666666666667
minimal_size_for_split=40,100,0.9555555555555556,1.0,0.9444444444444444,0.9473684210526315,0.9444444444444444,1.0,0.926829268292683,1.0,0.9714285714285714,0.875,0.9411764705882353
minimal_size_for_split=30,100,0.9555555555555556,1.0,0.9444444444444444,0.9473684210526315,0.9142857142857143,1.0,0.95,1.0,0.9714285714285714,0.9090909090909091,0.9142857142857143
minimal_size_for_split=20,100,0.9722222222222222,1.0,0.9444444444444444,0.972972972972973,0.9714285714285714,1.0,0.95,1.0,0.9714285714285714,0.9411764705882353,0.9714285714285714
minimal_size_for_split=5,1,0.7666666666666667,0.8372093023255814,0.5853658536585366,0.7368421052631579,0.7333333333333333,0.8421052631578947,0.7647058823529411,0.8648648648648649,0.8484848484848485,0.7272727272727273,0.7272727272727273
